MeasureID,ImplementingAgency,AnnouncedYear,StateActTitle,CountryImposing_cleaned,D_IP_bert_3,D_OTHER_INTENTION_bert_3,D_NOT_ENOUGH_INFO_bert_3,MeasureAffectedProducts,MAST_chapterName,MeasureType,firm_specific,ImplementationLevel,same_year_published
61078,KfW Ipex-Bank,2016,"Germany: EXIM financing for Brückner Maschinenbau GmbH & Co. KG, Siegsdorf in März 2016",Germany,1,0,0,"847710,847720,847730,847740,847751,847759,847780,847790",Export-related measures,Trade finance,Firm specific,NFI,
61080,KfW Ipex-Bank,2016,"Germany: EXIM financing for GIM Export Group GmbH & Co. KG, Göttingen in February 2016",Germany,1,0,0,847930,Export-related measures,Trade finance,Firm specific,NFI,
61081,KfW Ipex-Bank,2016,"Germany: EXIM financing for Horn Glass Industries AG, Plößberg in February 2016",Germany,1,0,0,847529,Export-related measures,Trade finance,Firm specific,NFI,
61082,KfW Ipex-Bank,2016,"Germany: EXIM financing for GIM Export Group GmbH & Co. KG, Göttingen in January 2016",Germany,1,0,0,847930,Export-related measures,Trade finance,Firm specific,NFI,
61083,KfW Ipex-Bank,2017,"Germany: EXIM financing for Siemens AG, Erlangen in May 2017",Germany,1,0,0,853510,Export-related measures,Trade finance,Firm specific,NFI,
61084,KfW Ipex-Bank,2017,Germany: EXIM financing for an unidentified producer in April 2017,Germany,1,0,0,"846210,846221,846229,846231,846239,846241,846249,846291,846299",Export-related measures,Trade finance,Firm specific,NFI,
61085,KfW Ipex-Bank,2017,"Germany: EXIM financing for SMS group GmbH, Düsseldorf in März 2017",Germany,1,0,0,"846210,846221,846229,846231,846239,846241,846249,846291,846299",Export-related measures,Trade finance,Firm specific,NFI,
61086,KfW Ipex-Bank,2017,"Germany: EXIM financing for Uhde Inventa-Fischer GmbH, Dortmund in März 2017",Germany,1,0,0,"844511,844512,844513,844519,844520,844530,844540,844590",Export-related measures,Trade finance,Firm specific,NFI,
61087,KfW Ipex-Bank,2017,"Germany: EXIM financing for Dieffenbacher GmbH, Eppingen in April 2017",Germany,1,0,0,847930,Export-related measures,Trade finance,Firm specific,NFI,
61104,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in January 2012,Switzerland,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
61105,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in February 2012,Switzerland,1,0,0,851761,Export-related measures,Trade finance,Firm specific,NFI,
61106,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in February 2012,Switzerland,1,0,0,846520,Export-related measures,Trade finance,Firm specific,NFI,
61108,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in March 2012,Switzerland,1,0,0,"880310,880320,880330,880390",Export-related measures,Trade finance,Firm specific,NFI,
61109,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in June 2012,Switzerland,1,0,0,"847710,847730,847780,847790",Export-related measures,Trade finance,Firm specific,NFI,
61110,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in August 2012,Switzerland,1,0,0,848790,Export-related measures,Trade finance,Firm specific,NFI,
61113,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in October 2012,Switzerland,1,0,0,841710,Export-related measures,Trade finance,Firm specific,NFI,
61115,Swiss Export Risk Insurance,2012,Switzerland: EXIM financing for an unidentified exporter in December 2012,Switzerland,1,0,0,854370,Export-related measures,Trade finance,Firm specific,NFI,
61116,Swiss Export Risk Insurance,2013,Switzerland: EXIM financing for an unidentified exporter in January 2013,Switzerland,1,0,0,854370,Export-related measures,Trade finance,Firm specific,NFI,
61117,Swiss Export Risk Insurance,2013,Switzerland: EXIM financing for an unidentified exporter in January 2013,Switzerland,1,0,0,730900,Export-related measures,Trade finance,Firm specific,NFI,
61118,Swiss Export Risk Insurance,2013,Switzerland: EXIM financing for an unidentified exporter in February 2013,Switzerland,1,0,0,853530,Export-related measures,Trade finance,Firm specific,NFI,
61121,Swiss Export Risk Insurance,2013,Switzerland: EXIM financing for an unidentified exporter in April 2013,Switzerland,1,0,0,"880310,880320,880330,880390",Export-related measures,Trade finance,Firm specific,NFI,
61126,Swiss Export Risk Insurance,2013,Switzerland: EXIM financing for an unidentified exporter in June 2013,Switzerland,1,0,0,848790,Export-related measures,Trade finance,Firm specific,NFI,
61131,Swiss Export Risk Insurance,2013,Switzerland: EXIM financing for an unidentified exporter in October 2013,Switzerland,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
61132,Swiss Export Risk Insurance,2013,Switzerland: EXIM financing for an unidentified exporter in February 2014,Switzerland,1,0,0,854370,Export-related measures,Trade finance,Firm specific,NFI,
61134,Swiss Export Risk Insurance,2014,Switzerland: EXIM financing for an unidentified exporter in February 2014,Switzerland,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
61136,Swiss Export Risk Insurance,2014,Switzerland: EXIM financing for an unidentified exporter in March 2014,Switzerland,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
61139,Swiss Export Risk Insurance,2014,Switzerland: EXIM financing for an unidentified exporter in June 2014,Switzerland,1,0,0,860800,Export-related measures,Trade finance,Firm specific,NFI,
61144,Swiss Export Risk Insurance,2014,Switzerland: EXIM financing for an unidentified exporter in September 2014,Switzerland,1,0,0,848790,Export-related measures,Trade finance,Firm specific,NFI,
61145,Swiss Export Risk Insurance,2014,Switzerland: EXIM financing for an unidentified exporter in November 2014,Switzerland,1,0,0,848790,Export-related measures,Trade finance,Firm specific,NFI,
61146,Swiss Export Risk Insurance,2014,Switzerland: EXIM financing for an unidentified exporter in November 2014,Switzerland,1,0,0,848790,Export-related measures,Trade finance,Firm specific,NFI,
61148,Swiss Export Risk Insurance,2015,Switzerland: EXIM financing for an unidentified exporter in March 2015,Switzerland,1,0,0,853590,Export-related measures,Trade finance,Firm specific,NFI,
61149,Swiss Export Risk Insurance,2015,Switzerland: EXIM financing for an unidentified exporter in July 2015,Switzerland,1,0,0,"853510,853521,853529,853530,853540,853590",Export-related measures,Trade finance,Firm specific,NFI,
